2015/12/10 10:25:35 INFO  - jmeter.util.JMeterUtils: Setting Locale to es_ES 
2015/12/10 10:25:36 INFO  - jmeter.util.JMeterUtils: Could not find resources for 'es_ES', using 'es' 
2015/12/10 10:25:36 INFO  - jmeter.JMeter: Loading user properties from: /home/alejandrogamez/project/jmeter/apache-jmeter-2.13/bin/user.properties 
2015/12/10 10:25:36 INFO  - jmeter.JMeter: Loading system properties from: /home/alejandrogamez/project/jmeter/apache-jmeter-2.13/bin/system.properties 
2015/12/10 10:25:36 INFO  - jmeter.JMeter: Copyright (c) 1998-2015 The Apache Software Foundation 
2015/12/10 10:25:36 INFO  - jmeter.JMeter: Version 2.13 r1665067 
2015/12/10 10:25:36 INFO  - jmeter.JMeter: java.version=1.8.0_60 
2015/12/10 10:25:36 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) 64-Bit Server VM 
2015/12/10 10:25:36 INFO  - jmeter.JMeter: os.name=Linux 
2015/12/10 10:25:36 INFO  - jmeter.JMeter: os.arch=amd64 
2015/12/10 10:25:36 INFO  - jmeter.JMeter: os.version=3.13.0-63-generic 
2015/12/10 10:25:36 INFO  - jmeter.JMeter: file.encoding=UTF-8 
2015/12/10 10:25:36 INFO  - jmeter.JMeter: Default Locale=español (España) 
2015/12/10 10:25:36 INFO  - jmeter.JMeter: JMeter  Locale=español (España) 
2015/12/10 10:25:36 INFO  - jmeter.JMeter: JMeterHome=/home/alejandrogamez/project/jmeter/apache-jmeter-2.13 
2015/12/10 10:25:36 INFO  - jmeter.JMeter: user.dir  =/home/alejandrogamez/project/jmeter/apache-jmeter-2.13 
2015/12/10 10:25:36 INFO  - jmeter.JMeter: PWD       =/home/alejandrogamez/project/jmeter/apache-jmeter-2.13 
2015/12/10 10:25:36 INFO  - jmeter.JMeter: IP: 127.0.0.1 Name: localhost FullName: localhost 
2015/12/10 10:25:36 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: javax.swing.plaf.metal.MetalLookAndFeel [Metal, CrossPlatform] 
2015/12/10 10:25:36 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2015/12/10 10:25:39 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2015/12/10 10:25:39 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2015/12/10 10:25:41 INFO  - jmeter.util.BSFTestElement: Registering JMeter version of JavaScript engine as work-round for BSF-22 
2015/12/10 10:25:41 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Cannot find .className property for htmlParser, using default 
2015/12/10 10:25:41 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is  
2015/12/10 10:25:41 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is  
2015/12/10 10:25:41 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is  
2015/12/10 10:25:41 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is  
2015/12/10 10:25:41 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2015/12/10 10:25:42 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.http.control.gui.WebServiceSamplerGui 
2015/12/10 10:25:42 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.http.modifier.gui.ParamModifierGui 
2015/12/10 10:25:42 INFO  - jorphan.exec.KeyToolUtils: keytool found at 'keytool' 
2015/12/10 10:25:42 INFO  - jmeter.protocol.http.proxy.ProxyControl: HTTP(S) Test Script Recorder SSL Proxy will use keys that support embedded 3rd party resources in file /home/alejandrogamez/project/jmeter/apache-jmeter-2.13/bin/proxyserver.jks 
2015/12/10 10:25:43 INFO  - jmeter.samplers.SampleResult: Note: Sample TimeStamps are START times 
2015/12/10 10:25:43 INFO  - jmeter.samplers.SampleResult: sampleresult.default.encoding is set to ISO-8859-1 
2015/12/10 10:25:43 INFO  - jmeter.samplers.SampleResult: sampleresult.useNanoTime=true 
2015/12/10 10:25:43 INFO  - jmeter.samplers.SampleResult: sampleresult.nanoThreadSleep=5000 
2015/12/10 10:25:51 INFO  - jmeter.services.FileServer: Default base='/home/alejandrogamez/project/jmeter/apache-jmeter-2.13' 
2015/12/10 10:25:51 INFO  - jmeter.gui.action.Load: Loading file: /home/alejandrogamez/project/jmeter/apache-jmeter-2.13/kafka.jmx 
2015/12/10 10:25:51 INFO  - jmeter.services.FileServer: Set new base='/home/alejandrogamez/project/jmeter/apache-jmeter-2.13' 
2015/12/10 10:25:52 INFO  - jmeter.save.SaveService: Testplan (JMX) version: 2.2. Testlog (JTL) version: 2.2 
2015/12/10 10:25:52 INFO  - jmeter.save.SaveService: Using SaveService properties file encoding UTF-8 
2015/12/10 10:25:52 INFO  - jmeter.save.SaveService: Using SaveService properties file version 1656252 
